user,top1,top2,top3,top4,top5
1,Bed of Roses (1996),Evita (1996),Breakdown (1997),Apt Pupil (1998),Crash (1996)
2,"Usual Suspects, The (1995)",Three Colors: Red (1994),Phenomenon (1996),Cinema Paradiso (1988),When Harry Met Sally... (1989)
3,Seven (Se7en) (1995),Red Rock West (1992),Swiss Family Robinson (1960),"Ruling Class, The (1972)",Mercury Rising (1998)
4,Moll Flanders (1996),Glengarry Glen Ross (1992),12 Angry Men (1957),Army of Darkness (1993),Jungle2Jungle (1997)
5,Antonia's Line (1995),"Mask, The (1994)",Moll Flanders (1996),Jean de Florette (1986),Manon of the Spring (Manon des sources) (1986)
6,Copycat (1995),Legends of the Fall (1994),Three Colors: Blue (1993),Mystery Science Theater 3000: The Movie (1996),Emma (1996)
7,"Postino, Il (1994)",Rumble in the Bronx (1995),Disclosure (1994),Hoop Dreams (1994),"Professional, The (1994)"
8,Antonia's Line (1995),"Brothers McMullen, The (1995)",Belle de jour (1967),Ridicule (1996),"Promesse, La (1996)"
9,Copycat (1995),Jude (1996),Breaking the Waves (1996),Sling Blade (1996),When the Cats Away (Chacun cherche son chat) (1996)
10,Bad Boys (1995),Disclosure (1994),"Fugitive, The (1993)",True Romance (1993),"Rock, The (1996)"
