店舗	売上額(万円)	立地(㎞)	競合店	面積(㎡)	サービス満足度	商品の充実度
赤坂店	7990 	0.3	0	290	4	4
溜池山王店	8420 	0.8	1	280	4	5
広尾店	3950 	3.5	3	300	2	3
南麻布店	6870 	2.2	2	400	4	4
麻布十番店	4520 	4.0	3	250	3	2
恵比寿店	3480 	2.5	2	220	3	3
高輪店	8900 	0.1	0	300	4	4
西五反田店	6280 	2.9	1	310	3	3
東五反田店	8180 	1.2	1	350	3	4
不動前店	5330 	2.4	1	240	3	3
飯倉店	3090 	3.0	2	280	2	3
渋谷店	8600 	0.2	0	240	3	4
中目黒店	3880 	1.5	1	280	3	2
南青山店	7400 	3.8	3	200	4	3
北青山店	4540 	4.0	3	320	3	3
芝公園店	3450 	3.3	2	320	3	3
泉岳寺店	2350 	5.0	3	220	2	2
乃木坂店	8510 	0.6	1	330	4	4
表参道店	4450 	4.6	3	280	3	3
神宮前店	5320 	3.3	2	240	3	2
